Am241,Am241
E_eV,Sig_b
0.2794984,3162.975876
0.2799626,3220.443705
0.2804267,3278.779857
0.2808908,3337.972358
0.2813549,3397.99612
0.2818191,3458.83213
0.2822832,3520.42104
0.2827473,3582.73976
0.2832114,3645.74411
0.2836756,3709.40394
0.2841397,3773.64076
0.2846038,3838.41638
0.2850679,3903.67047
0.2855321,3969.35575
0.2859962,4035.37658
0.2869244,4168.17938
0.2878857,4306.22667
0.2888469,4444.02083
0.2898081,4580.73703
0.2907693,4715.47366
0.2917305,4847.26947
0.2926917,4975.11765
0.2936529,5097.97891
0.2946141,5214.79558
0.295488,5314.86795
0.2963618,5408.27924
0.2972357,5494.29293
0.2981095,5572.17113
0.2985465,5607.85791
0.2989834,5641.25861
0.2994203,5672.30557
0.2998572,5700.93007
0.3002941,5727.0664
0.300731,5750.6539
0.3011679,5771.63894
0.3016048,5789.97292
0.3020854,5807.02654
0.302566,5820.76974
0.3030466,5831.16392
0.3035272,5838.17754
0.3040078,5841.79011
0.3044884,5841.99024
0.304969,5838.7766
0.3054496,5832.15694
0.3059302,5822.15009
0.3064108,5808.78195
0.3068914,5792.08951
0.307372,5772.11883
0.3078526,5748.92404
0.3083332,5722.56936
0.3088138,5693.12607
0.3092944,5660.67251
0.3099935,5608.26962
0.3106926,5549.97263
0.3113917,5486.10136
0.3120907,5417.0079
0.3127898,5343.03248
0.3134888,5264.57566
0.3141879,5182.00196
0.3148869,5095.7353
0.3158482,4971.78144
0.3168094,4842.63799
0.3177706,4709.32171
0.3187318,4572.83542
0.319693,4434.1388
0.3206542,4294.13933
0.3216154,4153.68113
0.3225766,4013.53997
0.3235253,3876.22009
0.3244739,3740.51445
0.3254226,3606.92391
0.3263712,3475.93721
0.3273199,3347.9172
0.3282685,3223.21258
0.3292172,3102.06019
0.3301658,2984.68579
0.3310925,2873.80091
0.3320192,2766.74666
0.3329459,2663.5783
0.3338726,2564.31576
0.3347993,2468.9517
0.3352627,2422.71494
0.335726,2377.44852
0.3361894,2333.12328
0.3366527,2289.74941
0.337116,2247.30779
0.3375793,2205.78843
0.3380427,2165.16923
0.338506,2125.45629
0.3389694,2086.61943
0.3394327,2048.66075
0.3398961,2011.55105
0.3403594,1975.2914
0.3408227,1939.85867
0.341286,1905.23678
0.3417494,1871.40562
0.3422127,1838.3612
0.3426761,1806.07634
0.3431394,1774.54807
0.3436028,1743.7462
0.3440661,1713.669722
0.3445294,1684.295518
0.3449927,1655.607483
0.3454561,1627.585467
0.3459194,1600.225501
0.3463828,1573.50037
0.3468461,1547.406094
0.3473095,1521.917474
0.3477728,1497.030509
0.3482361,1472.726068
0.3486994,1448.988054
0.3496261,1403.155887
0.3505528,1359.429343
0.3514795,1317.705702
0.3524061,1277.887335
0.3533328,1239.872462
0.3542595,1203.57251
0.3551862,1168.900832
0.3561128,1135.778882
0.3570395,1104.121012
0.3579661,1073.858733
0.3588928,1044.91646
0.3598194,1017.232248
0.3607461,990.737859
0.3616728,965.37628
0.3625995,941.090949
0.3635262,917.828674
0.3644529,895.53875
0.3653796,874.173709
0.3663063,853.688488
0.3672329,834.042474
0.3681596,815.191488
0.3690863,797.099663
0.370013,779.731102
0.3709396,763.053743
0.3718663,747.031887
0.3727929,731.638915
0.3737196,716.842763
0.3746462,702.619646
0.3754044,691.388523
0.3761626,680.509566
0.3769208,669.969957
0.377679,659.757514
0.3784372,649.860614
0.3791954,640.26827
0.3799536,630.969589
0.3807118,621.954589
0.38147,613.213479
0.3822282,604.736884
0.3829864,596.515919
0.3837446,588.542013
0.3845028,580.807085
0.385261,573.303279
0.3860192,566.023018
0.3867773,558.960155
0.387704,550.610434
0.3886307,542.561677
0.3895574,534.802676
0.390484,527.323347
0.3914107,520.11188
0.3923374,513.159188
0.3932641,506.456085
0.3941907,499.994511
0.3951174,493.764646
0.3960441,487.759145
0.3969708,481.970521
0.3978974,476.392114
0.3988241,471.015852
0.3997508,465.83577
0.4006775,460.845619
0.4016041,456.040134
0.4025308,451.412444
0.4034575,446.957918
0.4043842,442.671195
0.4053108,438.548136
0.4062375,434.582967
0.4071642,430.771861
0.4080909,427.110573
0.4090175,423.595569
0.4108709,416.987413
0.4127242,410.919796
0.4145775,405.367127
0.4164308,400.306553
0.4182842,395.717213
0.4201376,391.5812
0.421991,387.882108
0.4238443,384.605742
0.4256977,381.739111
0.427551,379.271571
0.4294044,377.193438
0.4312577,375.497093
0.4326056,374.499493
0.4339535,373.698445
0.4353014,373.092291
0.4366492,372.680003
0.4385026,372.427856
0.4403559,372.539532
0.4422093,373.015334
0.4440626,373.856991
0.445916,375.067618
0.4477693,376.65136
0.4496227,378.61435
0.451476,380.963744
0.4531609,383.442307
0.4548457,386.255032
0.4565306,389.411191
0.4582154,392.920472
0.4600688,397.202633
0.4619222,401.94305
0.4637756,407.160823
0.4656289,412.877069
0.4674823,419.116101
0.4693356,425.90386
0.471189,433.270483
0.4730423,441.247736
0.4748957,449.872786
0.476749,459.184629
0.4776757,464.112103
0.4786024,469.228466
0.4795291,474.539937
0.4804557,480.052333
0.4813824,485.773972
0.4823091,491.711476
0.4832358,497.87257
0.4841624,504.264478
0.4850891,510.897224
0.4860158,517.778941
0.4869425,524.919157
0.4878691,532.32681
0.4893855,545.055655
0.4909019,558.579936
0.4924183,572.952853
0.4931765,580.475543
0.4939346,588.231527
0.4946928,596.231037
0.495451,604.481507
0.4962092,612.991771
0.4969673,621.770072
0.5,659.77867
0.5023733,693.088996
0.5047466,729.957684
0.5071199,770.841418
0.5094932,816.268831
0.5118665,866.851115
0.5142398,923.294225
0.5166131,986.411417
0.5189863,1057.132405
0.520173,1095.675066
0.5213596,1136.524951
0.5225463,1179.843127
0.5237329,1225.78472
0.5259084,1317.405384
0.5269962,1367.091373
0.5280839,1419.546001
0.5291717,1474.928562
0.5302594,1533.377356
0.5313472,1595.053832
0.5324349,1660.094426
0.5335227,1728.65272
0.5346104,1800.853253
0.5356982,1876.833706
0.5367859,1956.690665
0.5378737,2040.532843
0.5389614,2128.412798
0.5400492,2220.39018
0.5411369,2316.456402
0.5426637,2458.151017
0.5441905,2607.621321
0.5457173,2764.434713
0.5472441,2927.929505
0.5487709,3097.18962
0.5502977,3271.027387
0.5518245,3447.975294
0.5533513,3626.284764
0.5552222,3843.664351
0.5570931,4055.864897
0.558964,4258.290792
0.5608348,4446.09493
0.5627057,4614.42697
0.5645765,4758.60182
0.5664474,4874.42286
0.5683182,4958.35284
0.5693387,4989.71424
0.5703591,5010.48931
0.5713796,5020.48496
0.5724,5019.60433
0.5735906,5004.84941
0.5747811,4975.50618
0.5759717,4931.95282
0.5771622,4874.75657
0.5783528,4804.63203
0.5795433,4722.45686
0.5807339,4629.2089
0.5819244,4525.99403
0.5838515,4340.77285
0.5857785,4137.666428
0.5877055,3921.903419
0.5896325,3698.541035
0.5915596,3472.239406
0.5934866,3247.159433
0.5954136,3026.791356
0.5973406,2813.959082
0.5995204,2584.966471
0.6017001,2370.492557
0.6038799,2171.735102
0.6060596,1989.167976
0.6071495,1903.923857
0.6082394,1822.633309
0.6093293,1745.213035
0.6104191,1671.565558
0.611509,1601.560096
0.6125989,1535.072855
0.6136888,1471.966877
0.6147786,1412.106117
0.6158685,1355.334325
0.6169584,1301.511296
0.6180483,1250.489715
0.6191381,1202.133273
0.620228,1156.291485
0.6213179,1112.831979
0.6224078,1071.626314
0.6234976,1032.549046
0.6256774,960.289854
0.6278571,895.164078
0.6300369,836.36059
0.6322166,783.167734
0.6345946,730.788371
0.6369725,683.609389
0.6393504,641.00149
0.6417283,602.420766
0.6441062,567.395682
0.6464841,535.517131
0.648862,506.430145
0.6512399,479.825816
0.6534197,457.388752
0.6555995,436.629736
0.6577793,417.388447
0.659959,399.523262
0.6621388,382.906458
0.6643185,367.4272094
0.6664983,352.9842441
0.668678,339.4895901
0.6708578,326.8618108
0.6730375,315.0303441
0.6752173,303.9296491
0.677397,293.5022746
0.6795768,283.6947575
0.6817565,274.4603206
0.686116,257.5403757
0.6904755,242.4418404
0.694835,228.9156626
0.6991945,216.7539454
0.703554,205.7824385
0.7079135,195.853844
0.712273,186.8430147
0.7166325,178.6427643
0.7209919,171.1606505
0.7253515,164.3160186
0.729711,158.0401204
0.7340705,152.273209
0.73843,146.9636963
0.7427895,142.0671907
0.747149,137.5449237
0.7515085,133.3628073
0.755868,129.4905728
0.7602275,125.9013791
0.764587,122.5710416
0.7689465,119.4783721
0.773306,116.6041275
0.782025,111.444514
0.790744,106.9756622
0.8002557,102.7784234
0.8097673,99.1941562
0.8192789,96.1459042
0.8287905,93.5722699
0.8375095,91.5849395
0.8462285,89.9162118
0.8549475,88.5378424
0.8636665,87.4301234
0.8723855,86.5787637
0.8811045,85.9723622
0.8898235,85.6020212
0.8985425,85.4617116
0.9112247,85.66223
0.9239069,86.343504
0.9365891,87.5173221
0.9492713,89.2056097
0.9619535,91.445324
0.9682946,92.7903129
0.9746357,94.298131
0.9809768,95.97941
0.9873179,97.8455084
0.993659,99.9089809
1.0,102.1839921
1.010205,106.3316489
1.015308,108.652245
1.02041,111.1524547
1.025513,113.8468775
1.030615,116.749475
1.035717,119.8777866
1.040819,123.2502765
1.045922,126.8887112
1.051024,130.8147055
1.056127,135.0559524
1.061229,139.6397096
1.066332,144.601322
1.071434,149.9766089
1.076536,155.810404
1.081638,162.152597
1.086984,169.406105
1.092329,177.354753
1.097674,186.086419
1.103019,195.701513
1.108365,206.318995
1.11371,218.072636
1.119055,231.12683
1.1244,245.675186
1.129746,261.952101
1.132419,270.822786
1.135091,280.230061
1.137764,290.225045
1.140437,300.853098
1.14311,312.16804
1.145782,324.224946
1.148455,337.099402
1.151128,350.860954
1.153801,365.592458
1.156473,381.380465
1.159146,398.340834
1.161818,416.578191
1.164491,436.238567
1.167163,457.457078
1.170322,484.796516
1.173481,514.887118
1.17664,548.108218
1.179798,584.89287
1.182957,625.788779
1.186115,671.389271
1.187695,696.198453
1.189274,722.456557
1.190853,750.291923
1.192432,779.827533
1.195105,834.084336
1.197778,894.333097
1.200451,961.413328
1.201787,997.796551
1.203123,1036.256259
1.20446,1076.965118
1.205796,1120.011744
1.207132,1165.582916
1.208468,1213.845306
1.209805,1265.01519
1.211141,1319.197792
1.212477,1376.620733
1.213813,1437.481407
1.215757,1532.598859
1.216729,1583.246734
1.217701,1636.061728
1.218673,1691.123374
1.219645,1748.51124
1.220617,1808.303924
1.221588,1870.511227
1.22256,1935.334306
1.223532,2002.781005
1.224504,2072.91489
1.225476,2145.7965
1.226448,2221.47832
1.22742,2300.00678
1.228392,2381.41622
1.229363,2465.64571
1.2307,2586.4011
1.232036,2712.59179
1.233373,2844.35524
1.234709,2981.38986
1.236046,3123.72992
1.237382,3270.92379
1.238718,3422.76634
1.240054,3578.86685
1.241327,3731.1386
1.2426,3886.37317
1.243873,4044.02394
1.245146,4203.4751
1.247692,4524.9846
1.250238,4844.68912
1.253473,5237.1211
1.256707,5599.24339
1.258324,5763.88036
1.259941,5914.89975
1.261558,6050.41178
1.263175,6168.66955
1.265332,6296.88713
1.267488,6388.53803
1.269644,6441.46344
1.2718,6454.37899
1.273597,6434.34269
1.275394,6386.67976
1.277191,6312.24639
1.278988,6212.34599
1.281113,6063.7064
1.283238,5885.30363
1.285363,5681.11268
1.287487,5455.58845
1.289612,5213.05519
1.291736,4958.30654
1.293861,4695.54776
1.295985,4429.21701
1.299244,4022.0147
1.302502,3626.87062
1.30576,3252.62819
1.307389,3075.37414
1.309018,2905.44441
1.310648,2743.10984
1.312277,2588.79954
1.313906,2442.51915
1.315535,2304.26797
1.317164,2173.9537
1.318793,2051.4106
1.320422,1936.40868
1.322051,1828.67095
1.323458,1741.22116
1.324865,1658.73963
1.326272,1580.99947
1.327679,1507.7685
1.329086,1438.81339
1.330493,1373.902714
1.3319,1312.805916
1.333306,1255.340163
1.334713,1201.207428
1.33612,1150.241909
1.337527,1102.243109
1.338934,1057.022615
1.340341,1014.401076
1.341748,974.208426
1.343155,936.285396
1.344561,900.506818
1.34619,861.517071
1.347819,824.979632
1.349448,790.707993
1.351077,758.530766
1.352706,728.290486
1.354335,699.842403
1.355964,673.053686
1.357593,647.802766
1.359222,623.977997
1.360851,601.476865
1.36248,580.205796
1.364109,560.078493
1.367367,522.945872
1.370625,489.520541
1.373884,459.321409
1.377142,431.966083
1.3804,407.10286
1.383658,384.439526
1.386917,363.718772
1.390175,344.736615
1.393433,327.298986
1.396691,311.242671
1.399801,297.073701
1.402911,283.925131
1.406021,271.701315
1.409131,260.317329
1.412241,249.697799
1.415351,239.776011
1.418461,230.491976
1.421571,221.792432
1.424681,213.629407
1.427791,205.960114
1.430901,198.745658
1.434011,191.951123
1.437121,185.544826
1.440231,179.498175
1.443341,173.784909
1.44645,168.383056
1.449709,163.029186
1.452967,157.970466
1.459483,148.6518981
1.465999,140.2805633
1.472515,132.7349785
1.479032,125.911544
1.485548,119.7256878
1.492064,114.1025599
1.49858,108.979247
1.503616,105.3274308
1.508651,101.9203417
1.513686,98.737509
1.518721,95.761091
1.523757,92.9744851
1.528792,90.3642419
1.533827,87.9167303
1.538862,85.6202232
1.543898,83.4638594
1.548933,81.4390954
1.559003,77.7504099
1.569074,74.4955525
1.579144,71.627471
1.585068,70.1045431
1.590992,68.6947367
1.60284,66.1909351
1.614688,64.0761349
1.626535,62.3207603
1.638383,60.9040355
