U241,U241
E_eV,Sig_b
7.564363,21.0236957
7.580464,21.981132
7.588514,22.5048326
7.596564,23.0618532
7.604615,23.6551072
7.612665,24.2875774
7.620715,24.9627936
7.628765,25.6846203
7.636816,26.4574801
7.644866,27.2860061
7.652916,28.1757134
7.660966,29.1326951
7.669016,30.1638849
7.677066,31.277094
7.685116,32.4812799
7.693166,33.786622
7.701949,35.3400331
7.710731,37.0452704
7.719513,38.9231639
7.728295,40.9980697
7.737077,43.2988822
7.745859,45.8601026
7.754641,48.7233419
7.759032,50.2835942
7.763423,51.9391262
7.771474,55.2498008
7.775499,57.0534355
7.779524,58.9672074
7.783549,61.0006503
7.787574,63.1644269
7.791599,65.4705258
7.795624,67.9324288
7.79965,70.5660798
7.803675,73.3875116
7.8077,76.4171433
7.811725,79.67766
7.81575,83.1951901
7.819775,86.999955
7.8238,91.12705
7.827825,95.6174584
7.832216,100.9871293
7.836607,106.920224
7.840998,113.504952
7.845389,120.847168
7.847768,125.185302
7.850146,129.803746
7.852525,134.731816
7.854903,139.993579
7.857282,145.624497
7.85966,151.653763
7.862039,158.124261
7.864417,165.071479
7.866796,172.546602
7.869174,180.592588
7.871553,189.270313
7.873931,198.630978
7.87631,208.746348
7.878688,219.677134
7.881067,231.507084
7.883445,244.306588
7.885458,255.966795
7.88747,268.435904
7.889483,281.785018
7.891495,296.06237
7.893508,311.346596
7.89552,327.689859
7.897533,345.178436
7.899545,363.867293
7.901558,383.850026
7.90357,405.183246
7.905583,427.966653
7.907595,452.256907
7.909608,478.15846
7.91162,505.725881
7.913633,535.066478
7.915645,566.229718
7.917841,602.429642
7.920036,640.987184
7.922232,682.028143
7.924427,725.5993
7.926623,771.816415
7.928818,820.703483
7.931014,872.359471
7.933209,926.778931
7.935222,979.158223
7.937235,1033.911124
7.939248,1091.03283
7.94126,1150.47471
7.943273,1212.26104
7.945285,1276.2814
7.947298,1342.53166
7.94931,1410.86302
7.951323,1481.23955
7.953336,1553.50705
7.957361,1703.09398
7.961386,1858.30208
7.965411,2017.4695
7.972729,2310.46625
7.980047,2596.17798
7.984072,2744.61765
7.988097,2883.46868
7.992122,3010.08725
7.996147,3121.95915
7.999387,3199.731
8.002626,3265.37409
8.005865,3318.00639
8.009104,3356.88909
8.012552,3382.56518
8.016,3391.64233
8.018299,3388.39652
8.022035,3367.34582
8.02577,3327.18709
8.029506,3268.6962
8.033241,3193.0352
8.037092,3098.54586
8.040942,2989.18795
8.044793,2866.96974
8.048643,2734.17536
8.052563,2590.45356
8.056482,2440.61849
8.064321,2131.93843
8.07216,1825.65641
8.076079,1678.03934
8.079998,1536.04841
8.082849,1436.9454
8.085699,1341.80498
8.08855,1250.83351
8.0914,1164.29632
8.094251,1082.270743
8.097101,1004.889376
8.099952,932.118102
8.102802,863.978279
8.104762,819.753233
8.106722,777.63797
8.108682,737.590669
8.110641,699.582019
8.112601,663.519383
8.114561,629.364112
8.116521,597.053564
8.11848,566.537411
8.12044,537.716469
8.1224,510.537029
8.12436,484.928337
8.126319,460.83097
8.128279,438.149161
8.130238,416.835281
8.132198,396.797772
8.134157,377.988371
8.136117,360.321002
8.138077,343.740128
8.140037,328.182738
8.141996,313.594781
8.143956,299.902992
8.145916,287.05876
8.147876,275.008506
8.149835,263.70661
8.151795,253.093126
8.153755,243.128043
8.155715,233.768093
8.157674,224.976609
8.159634,216.706156
8.161593,208.929271
8.163553,201.604151
8.165512,194.70682
8.169076,183.150538
8.172639,172.743097
8.176202,163.340372
8.179765,154.819708
8.183328,147.074083
8.186891,140.010987
8.190454,133.549836
8.194017,127.621078
8.19758,122.1645098
8.201143,117.1278732
8.204706,112.4659159
8.208269,108.1393513
8.211832,104.1140312
8.215395,100.3601583
8.218958,96.8516904
8.222521,93.5657955
8.226441,90.1838928
8.23036,87.0244471
8.23428,84.065324
8.238199,81.2899599
8.242119,78.6810352
8.246038,76.2257914
8.249958,73.9103814
8.253877,71.7248329
8.257797,69.6579733
8.261716,67.7018593
8.269555,64.0879971
8.277394,60.8269798
8.285232,57.8726944
8.290221,56.1337402
8.295209,54.4947464
8.300198,52.9472663
8.305186,51.4849115
8.315163,48.7897218
8.325139,46.3655701
8.335116,44.1757024
8.345092,42.1902978
8.355069,40.3835722
8.365045,38.7344044
8.372701,37.5639725
8.380356,36.4683915
8.388011,35.4411125
8.395666,34.4764343
8.403321,33.5692312
8.410976,32.7149319
8.418631,31.9093697
8.426286,31.1488013
8.433942,30.429736
8.441597,29.749288
8.456907,28.4930257
8.472217,27.3604421
8.487527,26.3353642
8.496638,25.7707109
8.505748,25.2368644
8.514858,24.7315242
8.523968,24.252622
8.542188,23.3668466
8.560408,22.56641234
8.578628,21.84035259
8.596848,21.17948177
8.615068,20.57601408
8.633288,20.02331294
8.654403,19.43885915
8.675518,18.90742262
8.696633,18.4225821
8.717748,17.97888471
8.738863,17.57164754
8.759978,17.19688152
8.781093,16.85117045
8.802207,16.53153717
8.820133,16.2786386
8.838059,16.04114953
8.855985,15.81771577
8.873911,15.60716634
8.891837,15.40845255
8.909763,15.22066689
8.927689,15.04301371
8.945614,14.87477505
8.981466,14.56387327
9.017318,14.28324188
9.05317,14.02903623
9.089021,13.79800303
9.132098,13.54704264
9.175174,13.32091996
9.21825,13.11533942
9.261326,12.92700478
9.304403,12.75439433
9.347479,12.59646191
9.390555,12.45185556
9.433631,12.31925125
9.473715,12.20569883
9.513798,12.1008466
9.553882,12.00379514
9.593965,11.91382441
9.634049,11.83052499
9.674132,11.75356204
9.714216,11.68259784
9.754299,11.6173511
9.815725,11.52796111
9.861794,11.46904809
9.907863,11.41695583
9.953932,11.3716178
10.0,11.33305739
10.05572,11.29588655
10.11144,11.26972422
10.16716,11.25532435
10.22287,11.25383515
10.25073,11.25841101
10.27859,11.26684618
10.30645,11.27939898
10.3343,11.29635182
10.36216,11.31807457
10.39002,11.34503275
10.41788,11.37779322
10.44573,11.41695497
10.47799,11.47118583
10.51025,11.53603747
10.54251,11.61289896
10.57476,11.70341302
10.60702,11.80964751
10.63928,11.93399124
10.67154,12.07936689
10.70379,12.24927109
10.73312,12.42876643
10.76244,12.63608078
10.77711,12.75175171
10.79177,12.87621289
10.80643,13.01031977
10.82109,13.15493157
10.83576,13.31111498
10.85042,13.47972158
10.86508,13.66205247
10.87974,13.85945797
10.8944,14.07347735
10.90906,14.30585906
10.92372,14.5585981
10.93838,14.83396525
10.95451,15.16618333
10.97064,15.53287215
10.98677,15.93860518
11.0029,16.3887256
11.01903,16.88951513
11.03516,17.4484051
11.05129,18.0742793
11.06741,18.7772878
11.07548,19.1622598
11.08354,19.5711409
11.09161,20.00702
11.09967,20.4710429
11.10774,20.9669028
11.1158,21.496136
11.12386,22.0624425
11.13192,22.669316
11.13999,23.3214756
11.14805,24.0217087
11.15612,24.7767057
11.16418,25.5902263
11.17225,26.4706918
11.18031,27.4232316
11.18837,28.4572465
11.19643,29.582382
11.20523,30.9280646
11.21403,32.4127236
11.22283,34.0566098
11.23162,35.8817965
11.24042,37.9217655
11.24922,40.2104459
11.25362,41.4615352
11.25802,42.7922921
11.26242,44.2100747
11.26681,45.7196586
11.27085,47.2007958
11.27488,48.7744888
11.27891,50.4536005
11.28294,52.2486875
11.28698,54.1767295
11.29101,56.2419738
11.29504,58.4648525
11.29907,60.8635439
11.30311,63.4657768
11.30714,66.2830159
11.31117,69.349616
11.3152,72.6982702
11.31924,76.3764567
11.32327,80.4101468
11.3273,84.8591485
11.33133,89.7827434
11.33573,95.7812845
11.33793,99.0551608
11.34013,102.531094
11.34233,106.224728
11.34453,110.152802
11.34673,114.333577
11.34892,118.765352
11.35131,123.933685
11.35369,129.45212
11.35608,135.397774
11.35846,141.753366
11.36085,148.607457
11.36323,155.939877
11.36561,163.817791
11.36799,172.282909
11.37038,181.419008
11.37276,191.196328
11.37514,201.700571
11.37752,212.982933
11.37991,225.149207
11.38229,238.153217
11.38467,252.100996
11.38705,267.051361
11.38907,280.571468
11.39109,294.894296
11.39311,310.057395
11.39512,326.01714
11.39714,342.96981
11.39915,360.785056
11.40117,379.676991
11.40318,399.494835
11.4052,420.471043
11.40721,442.431948
11.40923,465.628609
11.41124,489.861749
11.41326,515.401149
11.41527,542.019421
11.41729,570.004695
11.4193,599.099248
11.42187,638.137963
11.42444,679.260734
11.42701,722.479327
11.42957,767.611559
11.43214,814.994313
11.4347,864.227438
11.43727,915.647854
11.43983,968.790359
11.44387,1056.350389
11.4479,1147.82242
11.45193,1242.8782
11.45596,1340.86115
11.46,1441.24219
11.46403,1542.6356
11.47209,1745.13553
11.47906,1914.21158
11.48602,2070.91615
11.49005,2153.63179
11.49408,2228.99797
11.49833,2299.2975
11.50257,2358.89181
11.50606,2399.32518
11.50955,2431.46421
11.51304,2454.93279
11.51652,2469.4254
11.52,2474.85543
11.52233,2473.39554
11.52611,2462.36358
11.52989,2440.7772
11.53367,2408.95655
11.53744,2367.48507
11.54225,2301.40059
11.54706,2221.9387
11.55298,2108.34356
11.5589,1980.69075
11.56355,1873.03981
11.5682,1760.92546
11.5775,1530.5108
11.5868,1302.70708
11.59145,1193.25156
11.5961,1088.224191
11.59906,1024.066848
11.60202,962.220328
11.60498,902.823979
11.60793,846.172902
11.61089,791.959953
11.61385,740.430289
11.61681,691.606222
11.61976,645.637303
11.62209,611.213374
11.62441,578.568091
11.62674,547.393635
11.62906,517.925399
11.63139,489.872022
11.63371,463.432596
11.63604,438.333671
11.63836,414.74229
11.64069,392.403853
11.64301,371.45747
11.64534,351.668246
11.64766,333.15087
11.64999,315.69031
11.65231,299.381037
11.65464,284.027282
11.65696,269.706578
11.65929,256.242104
11.66161,243.697334
11.66394,231.913476
11.66626,220.94277
11.66859,210.643272
11.67091,201.058129
11.67324,192.061325
11.67556,183.68854
11.67789,175.828415
11.68021,168.511087
11.68254,161.63816
11.68486,155.235541
11.68719,149.216597
11.68951,143.603812
11.69184,138.321251
11.69416,133.388687
11.69628,129.146606
11.69839,125.158944
11.70262,117.8067212
11.70685,111.2182704
11.71107,105.3079921
11.7153,99.9624622
11.71953,95.1225283
11.72376,90.7245711
11.72798,86.7229454
11.73221,83.0517998
11.73644,79.6807104
11.74067,76.5750182
11.74489,73.7114564
11.74912,71.0508103
11.75334,68.5836282
11.75757,66.2790421
11.76179,64.1313658
11.76644,61.9228185
11.77109,59.8636905
11.77574,57.9394292
11.78039,56.1373695
11.78504,54.4463908
11.78969,52.8567747
11.79434,51.3598831
11.79899,49.948087
11.80364,48.614555
11.80829,47.353202
11.81759,45.0257315
11.82689,42.9280373
11.83618,41.0311688
11.8421,39.9140362
11.84802,38.8613379
11.85394,37.8679785
11.85986,36.9293771
11.86578,36.041377
11.8717,35.2002448
11.88353,33.646597
11.89537,32.242193
11.9072,30.9698292
11.91904,29.8108827
11.93087,28.7534677
11.9407,27.9427829
11.95052,27.1882675
11.96034,26.4839398
11.97016,25.8253205
11.97999,25.2077597
11.98981,24.6289665
11.99963,24.0851182
12.00945,23.57334983
12.01928,23.09060465
12.0291,22.63556342
12.03892,22.20563922
12.04874,21.79894083
12.05857,21.41337867
12.06839,21.04816452
12.08803,20.37209176
12.1,19.99218793
12.11196,19.63453738
12.12392,19.29706189
12.13588,18.97822425
12.14785,18.67635269
12.15981,18.39067021
12.18373,17.86262456
12.20766,17.38557732
12.23158,16.95327634
12.25551,16.55972722
12.27943,16.20053895
12.30857,15.80334401
12.3377,15.44493014
12.36683,15.12007184
12.39596,14.82450436
12.4251,14.55448367
