Cd106,Cd106
E_eV,Sig_b
208.0166,4.107377051
216.0332,4.09638567
224.0498,4.085272612
232.0664,4.073997538
242.5882,4.058861396
247.8491,4.051168433
253.11,4.043296325
263.6318,4.027210904
274.1536,4.010393733
279.4145,4.001731713
284.6754,3.992775063
289.9363,3.98363848
295.1972,3.974241228
300.4581,3.964479169
305.719,3.954482702
310.9799,3.944115715
316.2407,3.933405647
321.7521,3.921659827
327.2635,3.909427889
332.7749,3.896626935
338.2863,3.883152188
343.7977,3.86900952
349.3091,3.854014874
354.8205,3.838104499
360.3319,3.821200785
363.8392,3.809784868
367.3465,3.797818313
370.8538,3.785260269
374.361,3.772153823
377.8683,3.758226655
381.3755,3.743479596
384.8828,3.72782171
388.39,3.71112158
391.0205,3.69780523
393.6509,3.68375776
396.2814,3.668900512
398.9118,3.653090294
401.5423,3.63623698
404.1727,3.61823892
406.8032,3.59886627
408.1184,3.58863162
409.4336,3.57801469
410.8115,3.56637145
412.1893,3.55420112
413.5672,3.54145545
414.945,3.52808628
416.3229,3.51403587
417.7007,3.49924063
419.0786,3.4836271
420.4564,3.46711535
421.7717,3.45042539
423.0869,3.43273646
424.4022,3.41394113
425.7174,3.39391371
426.3751,3.38339355
427.0327,3.37251052
427.6903,3.36124537
428.3479,3.34957361
429.0055,3.33746577
429.6631,3.32490234
430.3207,3.31187186
430.9783,3.2983388
431.6673,3.2835293
432.3562,3.26805914
433.0451,3.2518874
433.734,3.23496052
434.4229,3.21722052
435.1118,3.19860362
435.8007,3.17903818
436.4896,3.15844767
437.1786,3.13674165
437.8675,3.11383011
438.5565,3.08960077
438.901,3.07695579
439.2454,3.0639407
439.5899,3.05053039
439.9344,3.03671165
440.2789,3.02246565
440.6233,3.0077762
440.9678,2.99261436
441.3122,2.97696803
441.6567,2.9608033
442.0011,2.9441078
442.4082,2.923652
442.8153,2.9023825
443.2224,2.8802486
443.6295,2.8571837
444.0366,2.8331341
444.4437,2.8080585
444.8508,2.7819104
445.2578,2.754648
445.6023,2.7306623
445.9468,2.7058144
446.2913,2.6800845
446.6357,2.6534654
446.9802,2.6259378
447.3246,2.5975266
447.4969,2.5829852
447.6691,2.5682417
447.8413,2.553295
448.0135,2.5381561
448.2954,2.5129902
448.5772,2.4874281
448.8591,2.4615552
449.0,2.448555
449.1409,2.4355362
449.2819,2.4225179
449.4228,2.4095497
449.5637,2.3966569
449.7046,2.3838812
449.8455,2.3712724
449.9864,2.358887
450.1273,2.3467911
450.2682,2.3350612
450.4405,2.321346
450.6127,2.3085146
450.785,2.2967848
450.9572,2.2864528
451.1295,2.2778513
451.3017,2.2714088
451.4739,2.2676346
451.6461,2.26716
451.8184,2.270766
451.9045,2.274393
451.9906,2.279421
452.0767,2.286009
452.1628,2.294335
452.2489,2.304601
452.335,2.317032
452.4212,2.331903
452.5073,2.3494666
452.5934,2.3700674
452.6795,2.3940769
452.7656,2.4219203
452.8517,2.4540832
452.9378,2.491123
453.0239,2.5336841
453.1257,2.5921516
453.2275,2.6608295
453.3293,2.7414535
453.431,2.8360177
453.5328,2.9472527
453.6346,3.0781962
453.6855,3.1522306
453.7364,3.2327109
453.7873,3.3202715
453.8381,3.4154354
453.8969,3.5363463
453.9556,3.669942
454.0143,3.8180719
454.073,3.9826851
454.1317,4.1660685
454.1904,4.3709641
454.2491,4.6006715
454.2785,4.7262707
454.3078,4.8592043
454.3509,5.0702073
454.3939,5.3011852
454.437,5.5559921
454.48,5.8367384
