Ag110_m1,Ag110_m1
E_eV,Sig_b
10.80173,7.51399705549
10.82463,7.63895606362
10.84754,7.77659207174
10.87044,7.92851107984
10.89335,8.09688508793
10.91625,8.283972096
10.93916,8.49280010405
10.95062,8.60643410807
10.96207,8.72671711208
10.97353,8.8544011161
10.98498,8.9898541201
10.99643,9.13383812411
11.00788,9.2870741281
11.01934,9.4505111321
11.03079,9.62475013609
11.04224,9.81091514007
11.05369,10.0101051441
11.06515,10.223739148
11.0766,10.452820152
11.08805,10.699067156
11.0995,10.9642131599
11.11096,11.2504741639
11.12241,11.5595621679
11.13387,11.8945311718
11.14532,12.2576501758
11.15678,12.6528171797
11.16823,13.0830751836
11.17968,13.5530411876
11.19113,14.0676551915
11.20259,14.6331561954
11.21404,15.2552071994
11.22549,15.9420392033
11.23694,16.7027302072
11.2484,17.5487652111
11.25413,18.0074322131
11.25985,18.491329215
11.26558,19.004113217
11.2713,19.5461322189
11.27703,20.1216312209
11.28275,20.7311392228
11.28848,21.3796212248
11.29421,22.0691312267
11.29994,22.8030642287
11.30566,23.5837762306
11.31139,24.4181102326
11.31712,25.3093242345
11.32285,26.2624522365
11.32857,27.2812512384
11.3343,28.3754592403
11.34003,29.5502442423
11.34576,30.8132582442
11.35148,32.1705172462
11.35721,33.6362502481
11.36293,35.21584225
11.36866,36.926583252
11.37438,38.7755752539
11.38011,40.7839332558
11.38584,42.9649022578
11.39157,45.3367292597
11.39729,47.9150262616
11.40302,50.7313792636
11.40874,53.8008732655
11.41447,57.1618422674
11.42019,60.8327822693
11.42592,64.8594592713
11.43165,69.2712802732
11.43738,74.1059082751
11.4431,79.392683277
11.44883,85.189198279
11.45455,91.5123662809
11.46028,98.4168422828
11.466,105.902160285
11.47063,112.401822286
11.47525,119.275559288
11.47988,126.535548289
11.4845,134.116711291
11.49375,150.069354294
11.503,166.397512297
11.50763,174.354460299
11.51225,181.9022823
11.51688,188.858382302
11.5215,194.966867303
11.52613,200.031380305
11.53075,203.829014306
11.53538,206.214426308
11.54,207.072080309
11.54463,206.368190311
11.54925,204.139684313
11.55388,200.479206314
11.5585,195.560958316
11.56313,189.563265317
11.56775,182.732583319
11.57238,175.26528232
11.577,167.408130322
11.58625,151.205208325
11.5955,135.330177328
11.60013,127.756843329
11.60475,120.528709331
11.60938,113.649128332
11.614,107.166685334
11.61779,102.138401335
11.62158,97.3699183365
11.62537,92.8565363377
11.62916,88.591160339
11.63295,84.5649793402
