Ag109,Ag109
E_eV,Sig_b
9.352146,15.560207
9.453952,15.078452
9.555757,14.630864
9.666818,14.176228
9.777879,13.751842
9.88894,13.35633
10.0,12.987435
10.10743,12.653629
10.21485,12.340225
10.32227,12.045677
10.42969,11.768628
10.53712,11.507549
10.64454,11.261207
10.75196,11.028577
10.85938,10.808587
10.96681,10.600229
11.07423,10.402785
11.18165,10.215463
11.28907,10.037496
11.39649,9.868296
11.50391,9.707295
11.71875,9.407642
11.91407,9.158564
12.10938,8.929184
12.30469,8.717369
12.5,8.521299
12.73438,8.304566
12.96875,8.105825
13.20313,7.923036
13.4375,7.754436
13.67188,7.598505
13.90625,7.453935
14.14063,7.320437
14.375,7.19508
14.6875,7.040858
15.0,6.899616
15.3125,6.769819
15.625,6.65015
15.9375,6.539483
16.25,6.4368469
16.5625,6.3414042
16.875,6.2524246
17.1875,6.1692752
17.5,6.0914005
17.8125,6.0183171
18.125,5.949599
18.4375,5.8848733
18.75,5.8238126
19.0625,5.7661296
19.375,5.711575
19.6875,5.6599299
20.0,5.6110154
20.32911,5.5622683
20.65821,5.5162035
20.98732,5.4727074
21.31642,5.4316943
21.70723,5.3861566
22.09804,5.3440372
22.48885,5.3053796
22.87966,5.2703525
23.07507,5.2543214
23.27047,5.2392827
23.46588,5.2254261
23.66128,5.2126762
23.85669,5.2012251
24.05209,5.1909822
24.2475,5.1824339
24.4429,5.175614
24.66916,5.170111
24.89542,5.1675455
25.12168,5.1683952
25.34794,5.1732585
25.5742,5.1828857
25.68733,5.189775
25.80046,5.198232
25.91359,5.208418
26.02672,5.220516
26.13985,5.234735
26.25297,5.251311
26.39696,5.276255
26.54094,5.306108
26.68492,5.341532
26.8289,5.383449
26.97289,5.433327
27.11687,5.492528
27.18886,5.526125
27.26085,5.562715
27.33284,5.602582
27.40483,5.646047
27.51796,5.722497
27.63109,5.810354
27.74422,5.911589
27.80079,5.96796
27.85735,6.028606
27.91392,6.093937
27.97048,6.164361
28.02705,6.240386
28.08361,6.322526
28.14018,6.41141
28.19674,6.507682
28.25331,6.612124
28.30987,6.725535
28.37672,6.872459
28.44357,7.035088
28.51042,7.215666
28.57727,7.416876
28.64412,7.641824
28.71097,7.894102
28.77782,8.17797
28.81124,8.333295
28.84466,8.498525
28.90123,8.803124
28.95779,9.142991
29.01436,9.523681
29.07092,9.951572
29.09921,10.18572
29.12749,10.434672
29.15577,10.699756
29.18405,10.982351
29.21233,11.283987
29.24061,11.606357
29.26889,11.951348
29.29717,12.321063
29.33831,12.90795
29.37945,13.560555
29.42059,14.28889
29.46173,15.104965
29.4823,15.550345
29.50287,16.023359
29.52344,16.526324
29.54401,17.061813
29.56458,17.632692
29.58515,18.242112
29.60572,18.893618
29.62628,19.590802
29.65457,20.633487
29.68285,21.78449
29.71113,23.059789
29.73941,24.477966
29.7677,26.061909
29.78184,26.923741
29.79598,27.837385
29.81012,28.807129
29.82426,29.837714
29.8384,30.934447
29.85254,32.103214
29.86604,33.292349
29.87954,34.559561
29.89304,35.912044
29.90654,37.35788
29.92004,38.906146
29.93354,40.567162
29.94704,42.352628
29.96053,44.274403
29.97403,46.350633
29.98753,48.597573
30.00103,51.035591
30.01452,53.686314
30.02802,56.581306
30.04152,59.751097
30.05502,63.233843
30.06851,67.071618
30.0788,70.272025
30.08908,73.735169
30.09615,76.287208
30.10322,78.990945
30.11029,81.858774
30.11736,84.904259
30.12443,88.142248
30.1315,91.588937
30.13857,95.262027
30.14564,99.180841
30.15271,103.366406
30.15978,107.841531
30.16685,112.63112
30.17392,117.762116
30.18099,123.263491
30.18806,129.166657
30.19513,135.505469
30.2022,142.315936
30.20638,146.580045
30.21056,151.030884
30.21474,155.677331
30.21892,160.528282
30.2231,165.593055
30.22728,170.881391
30.23146,176.40315
30.23563,182.154522
30.23981,188.17357
30.24399,194.457454
30.24817,201.017321
30.25235,207.864237
30.25653,215.009891
30.26071,222.465787
30.26489,230.243751
30.26906,238.335944
30.27613,252.849111
30.2832,268.41096
30.29027,285.080038
30.29734,302.91446
30.30441,321.97087
30.31148,342.30371
30.31855,363.96448
30.32562,387.00066
30.33269,411.45499
30.33976,437.36372
30.34683,464.7564
30.3539,493.65415
30.36097,524.0685
30.36804,556.00049
30.37511,589.43962
30.38218,624.36216
30.38926,660.78341
30.39633,698.54812
30.4034,737.63908
30.41047,777.97252
30.41754,819.44754
30.42461,861.94658
30.43875,949.46048
30.4484,1010.57141
30.45804,1072.20069
30.47732,1195.06429
30.49146,1282.60469
30.5056,1365.74415
30.5206,1446.85422
30.5356,1518.33359
30.54849,1570.37775
30.56137,1612.41957
30.57425,1643.48732
30.58713,1662.82117
30.6,1669.94983
30.60859,1667.83491
30.61557,1662.07996
30.62255,1652.75456
30.62953,1639.93079
30.6365,1623.73349
30.64348,1604.23846
30.65046,1581.6121
30.66441,1527.68608
30.67501,1479.73405
30.6856,1426.64371
30.6962,1369.12591
30.70679,1308.13071
30.71727,1245.12792
30.72774,1180.3753
30.74869,1048.47773
30.76297,959.15257
30.77725,872.1037
30.79153,788.60742
30.80581,709.66463
30.81629,655.05787
30.82676,603.54539
30.83723,555.19993
30.8477,510.08388
30.85818,468.1642
30.86865,429.47766
30.87912,393.89833
30.88436,377.22255
30.88959,361.30853
30.89483,346.07658
30.90007,331.53804
30.90531,317.67211
30.91054,304.48173
30.91578,291.89443
30.92101,279.93565
30.92625,268.53678
30.93148,257.71866
30.93672,247.41683
30.94195,237.64786
30.94719,228.35189
30.95242,219.54225
30.95766,211.16329
30.96289,203.22572
30.96813,195.67832
