Cm247,Cm247
E_eV,Sig_b
0.0015,644.993816
0.0015625,632.120889
0.001625,619.997948
0.0016875,608.554895
0.00175,597.730646
0.0018125,587.470929
0.001875,577.728779
0.0019375,568.461842
0.002,559.63257
0.00209375,547.137542
0.0021875,535.454544
0.00228125,524.499274
0.002375,514.199145
0.00246875,504.491384
0.0025625,495.321428
0.00265625,486.641325
0.00275,478.408828
0.00284375,470.587097
0.0029375,463.142896
0.00303125,456.046696
0.003125,449.272569
0.00321875,442.796491
0.0033125,436.597641
0.00340625,430.6564
0.0035,424.955552
0.00359375,419.479181
0.0036875,414.213274
0.00378125,409.144419
0.003875,404.260504
0.00396875,399.55072
0.0040625,395.004858
0.00425,386.368566
0.0044375,378.285371
0.004625,370.698724
0.0048125,363.559685
0.005,356.82592
0.00515625,351.497352
0.0053125,346.405539
0.00546875,341.533666
0.005625,336.866223
0.00578125,332.389398
0.0059375,328.090483
0.00609375,323.958168
0.00625,319.981847
0.00640625,316.152013
0.0065625,312.459858
0.00671875,308.897079
0.006875,305.456569
0.0071875,298.91514
0.0075,292.786639
0.0078125,287.029138
0.008125,281.606815
0.0084375,276.48815
0.00875,271.646025
0.0090625,267.056326
0.009375,262.697952
0.0096875,258.552219
0.01,254.60235
0.0103125,250.833425
0.010625,247.232137
0.0109375,243.78651
0.01125,240.485607
0.0115625,237.319604
0.011875,234.279625
0.0121875,231.357597
0.0125,228.546035
0.0128125,225.838087
0.013125,223.227609
0.0134375,220.708778
0.01375,218.276322
0.014375,213.651486
0.015,209.318423
0.015625,205.247671
0.01625,201.413657
0.016875,197.794383
0.0175,194.370778
0.018125,191.125877
0.01875,188.044832
0.019375,185.114179
0.02,182.322312
0.0206625,179.50261
0.021325,176.815462
0.0219875,174.251032
0.02265,171.800208
0.0233125,169.454837
0.023975,167.207635
0.0246375,165.051951
0.0253,162.981743
0.02645782,159.552772
0.02761563,156.342513
0.02877344,153.328879
0.02993125,150.492954
0.03108907,147.818243
0.03224688,145.290119
0.03340469,142.89544
0.0345625,140.622532
0.03552735,138.814024
0.03649219,137.077793
0.03745704,135.409199
0.03842188,133.80411
0.03938673,132.258705
0.04035157,130.769503
0.04131641,129.333233
0.04228125,127.946894
0.04421094,125.313067
0.04614063,122.848197
0.04807032,120.535179
0.05,118.359289
0.0515625,116.689036
0.053125,115.094228
0.0546875,113.569464
0.05625,112.109872
0.0578125,110.711031
0.059375,109.36899
0.0609375,108.080128
0.0625,106.841215
0.0640625,105.64933
0.065625,104.501772
0.0671875,103.395951
0.06875,102.329336
0.071875,100.304312
0.075,98.410157
0.078125,96.634158
0.08125,94.965583
0.084375,93.394719
0.0875,91.912915
0.090625,90.512488
0.09375,89.186728
0.096875,87.929603
0.1,86.735812
0.103125,85.600574
0.10625,84.519638
0.109375,83.489174
0.1125,82.505699
0.115625,81.566084
0.11875,80.667509
0.121875,79.807371
0.125,78.983352
0.128125,78.19338
0.13125,77.435714
0.134375,76.708695
0.1375,76.010511
0.14375,74.69275
0.15,73.469908
0.15625,72.333932
0.1625,71.277279
0.16875,70.292957
0.175,69.374773
0.18125,68.517294
0.1875,67.715749
0.19375,66.965747
0.2,66.263713
0.2046875,65.767272
0.209375,65.295406
0.2175782,64.52314
0.2257813,63.812833
0.2339844,63.16078
0.2421875,62.563135
0.2503907,62.016075
0.2585938,61.516275
0.2667969,61.060741
0.275,60.646839
0.284375,60.221815
0.29375,59.845058
0.303125,59.51388
0.3125,59.225926
0.321875,58.979147
0.33125,58.771748
0.340625,58.60217
0.35,58.469048
0.359375,58.371233
0.36875,58.307748
0.3828125,58.275075
0.396875,58.315554
0.4109375,58.427639
0.425,58.610378
0.434375,58.771223
